# time_s variant_mbps reno_mbps
2.000 18.836 18.836
3.000 192.885 149.260
4.000 224.116 161.504
5.000 231.240 154.380
6.000 230.927 154.693
7.000 229.004 156.616
8.000 226.803 158.817
9.000 230.800 154.820
10.000 231.668 153.951
11.000 229.213 156.407
12.000 228.888 156.732
13.000 229.838 155.782
14.000 230.765 154.855
15.000 231.715 153.905
16.000 229.537 156.083
17.000 228.297 157.322
18.000 231.471 154.137
19.000 233.371 152.249
20.000 228.865 156.755
21.000 231.993 153.627
22.000 226.780 158.840
23.000 236.568 149.051
24.000 227.266 158.353
25.000 229.491 156.129
26.000 234.599 151.021
27.000 229.502 156.118
28.000 234.008 151.611
29.000 229.618 156.002
30.000 232.873 152.747
31.000 228.946 156.674
32.000 233.255 152.364
33.000 227.533 158.087
34.000 232.607 153.013
35.000 234.819 150.801
36.000 227.591 158.029
37.000 233.638 151.970
38.000 234.217 151.403
39.000 228.321 157.299
40.000 231.622 153.998
41.000 227.730 121.539
42.000 235.723 112.979
43.000 237.402 113.442
44.000 234.275 118.713
45.000 237.009 118.099
46.000 240.542 114.658
47.000 244.040 115.342
48.000 245.859 115.817
49.000 245.477 118.412
50.000 243.681 122.373
51.000 249.902 118.273
52.000 251.639 117.740
53.000 254.176 118.319
54.000 256.053 118.771
55.000 252.728 124.285
56.000 255.462 123.694
57.000 261.161 120.172
58.000 262.656 120.844
59.000 264.138 121.250
60.000 263.918 121.702
61.000 262.586 123.034
62.000 263.965 121.655
63.000 262.575 123.045
64.000 262.134 123.485
65.000 261.798 123.821
66.000 263.466 122.153
67.000 267.950 117.670
68.000 260.513 125.107
69.000 269.363 116.257
70.000 259.597 126.022
71.000 268.529 117.091
72.000 261.856 123.763
73.000 264.694 120.925
74.000 267.347 118.273
75.000 267.104 118.516
76.000 266.084 119.535
77.000 263.965 121.644
78.000 265.355 120.265
79.000 266.768 118.852
80.000 267.139 118.481
81.000 264.636 120.983
82.000 264.208 121.412
83.000 263.941 121.678
84.000 269.965 115.655
85.000 266.548 119.072
86.000 262.748 122.871
87.000 272.444 113.176
88.000 261.879 123.740
89.000 271.645 113.975
90.000 261.045 124.574
91.000 270.927 114.693
92.000 268.621 116.998
93.000 261.961 123.659
94.000 269.803 115.817
95.000 269.606 116.014
96.000 269.212 116.396
97.000 266.061 119.558
98.000 265.621 119.999
99.000 266.780 118.840
100.000 267.938 117.682
101.000 269.096 116.523
102.000 270.255 115.365
103.000 268.552 117.068
104.000 266.258 119.362
105.000 265.876 119.744
106.000 265.586 120.033
107.000 274.726 110.894
108.000 266.305 119.315
109.000 264.509 121.111
110.000 275.155 110.465
111.000 263.675 121.945
112.000 270.950 114.670
113.000 266.629 118.991
114.000 271.390 114.230
115.000 264.857 120.752
116.000 273.255 112.365
117.000 262.389 123.231
118.000 271.668 113.952
119.000 272.340 113.280
