# time_s variant_mbps reno_mbps
2.000 101.128 13.866
3.000 295.160 90.459
4.000 294.500 91.120
5.000 297.477 88.143
6.000 297.442 88.177
7.000 295.207 90.413
8.000 294.998 90.622
9.000 293.075 92.545
10.000 296.191 89.428
11.000 296.087 89.533
12.000 293.817 91.803
13.000 293.643 91.977
14.000 294.129 91.490
15.000 295.971 89.649
16.000 292.693 92.927
17.000 292.554 93.066
18.000 292.936 92.684
19.000 294.952 90.668
20.000 291.558 94.050
21.000 291.419 94.201
22.000 292.867 92.753
23.000 293.400 92.220
24.000 291.616 94.004
25.000 290.596 95.024
26.000 293.388 92.232
27.000 291.384 94.236
28.000 287.608 98.012
29.000 294.674 90.946
30.000 290.573 95.047
31.000 286.901 98.719
32.000 293.678 91.942
33.000 289.670 95.950
34.000 288.789 96.831
35.000 290.063 95.556
36.000 288.859 96.761
37.000 288.604 97.016
38.000 290.226 95.394
39.000 286.287 99.321
40.000 291.523 94.097
41.000 287.515 98.105
42.000 287.121 98.499
43.000 288.743 96.877
44.000 286.171 99.449
45.000 289.994 95.626
46.000 284.851 100.769
47.000 289.554 96.066
48.000 285.453 100.167
49.000 286.681 98.939
50.000 287.191 98.429
51.000 284.457 101.163
52.000 288.245 97.375
53.000 283.866 101.754
54.000 286.913 98.707
55.000 284.028 101.592
56.000 286.275 99.344
57.000 283.472 102.148
58.000 286.484 99.124
59.000 282.059 103.561
60.000 285.928 99.692
61.000 282.904 102.715
62.000 283.889 101.731
63.000 284.943 100.677
64.000 280.634 104.986
65.000 285.210 100.410
66.000 280.333 105.287
67.000 284.538 101.082
68.000 281.445 104.175
69.000 283.229 102.391
70.000 282.974 102.646
71.000 278.387 107.233
72.000 284.295 101.325
73.000 279.916 105.704
74.000 281.734 103.885
75.000 281.468 104.152
76.000 279.916 105.704
77.000 281.885 103.735
78.000 280.553 105.055
79.000 276.336 109.283
80.000 283.634 101.986
81.000 279.661 105.959
82.000 275.386 110.233
83.000 282.742 102.878
84.000 278.757 106.862
85.000 277.089 108.530
86.000 279.198 106.422
87.000 279.221 106.399
88.000 275.850 109.770
89.000 277.182 108.438
90.000 279.719 105.901
91.000 278.004 107.615
92.000 276.035 109.585
93.000 275.908 109.712
94.000 277.715 107.905
95.000 277.576 108.044
96.000 274.715 110.905
97.000 274.691 110.917
98.000 278.734 106.886
99.000 275.050 110.569
100.000 274.309 111.311
101.000 274.355 111.264
102.000 312.027 73.593
103.000 319.394 66.226
104.000 322.522 63.098
105.000 318.062 67.558
106.000 322.174 63.446
107.000 317.170 68.450
108.000 321.340 64.280
109.000 316.255 69.365
110.000 320.495 65.125
111.000 315.340 70.280
112.000 319.649 65.971
113.000 314.390 71.230
114.000 318.780 66.840
115.000 318.212 67.407
116.000 313.127 72.481
117.000 318.340 67.280
118.000 312.432 73.188
119.000 316.544 69.075
