# bandwidth_mbps TcpCubic TcpBic TcpHighSpeed TcpFusion TcpNewReno
50 87.8815 77.5281 71.3569 57.9654 55.1550
100 89.9694 87.4787 76.3301 58.0641 55.3220
200 91.4086 85.2442 80.3718 63.2019 53.9970
400 85.0813 87.7257 74.0926 67.4619 55.8700
800 84.4340 73.5123 81.9507 66.9345 50.7445
